Track title,track lyrics,Release Year,composer ,Lyricist
معك يا حبيبي,معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك معك يا حبيبي  راح ابقى عا طول بالصيف وبالشتي وبشمس الحقول كل الليل الغريب وعالسهر المجهول أنا يا حبيبي معك معك راح ابقى يا حبيبي معك معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك معك يا حبيبي بدي ابقى سنين حتى لو .... وصرنا منسيين عاسياج الأيام بسفر الأحلام معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك,1998,الياس رحباني,الأخوين رحباني
من روابينا القمر,من روابينا القمر جاءه أمله خبر جايلته رندلى ودمى الحسن الآخر طالما فاجئنه حافيا فوق الزهر مزقت من ثوبه نزوات لا تذر هم ما هم و من غزلنا يكسى القمر العذارى حوله في الربى عقد شرر ضحكة طافرة ونشيد في الأثر والمساء المنتحي بعد هاتيك الصور ذاهل شال به صوتنا المختكر والروابي نهضت فوق تجوال النظر يا ترى العمر قمر,1999,الأخوين رحباني, سعيد عقل
نام ولا تنام,نام ولا تنام شوف ولا تشوف بيارق السفرفوقنا عم تلمع ورق الشجرعم يتودع نام ولا تنام شوف ولا تشوف بين الغفا والصحو غمضة عين بين الصغر والكبر غمضة عين بين السنونو والسطح غيبة سنة رح يفلوا بغيبتك وتفل الدني وبكرا اذا رجعوا رفوف السنونو بيتي بلا سطح وين بدهن يغطوا؟ قولك عالشمسية ؟ وبكرا اذا رجعو رفوف السنونو بيلمحوا من بعيد قصرك العالي وسطحك القرميد وشمسيتي زغيرة وسطحك كبير بيعششوا  بقصرك وبينسونا كتير يا حسرتي علينا ما عاد يجي لعنا حتى العصافير نام ولا تنام شوف ولا تشوف,1971,الأخوين رحباني,الأخوين رحباني
ندى,ندى بسمة الورد للندى في الصباح ندى همـسـة الطهر في شفاه الاقاح ندى شــــــــعلة الحب قبلة الارواح كم من وشاح كساها الجمال كم من وشاح اخت الفراشــــــــات يلعبن حاليات الجناح لم تبقِ للزهر والطير من شـــــذاً وصداحِ رضابها للحميّا والخد للتفاح كم من وشاح كساها الجمال كم من وشـاح ندى يا من ســلسل الخمر في الثنايا العذاب من صفصف الشعر فوق الجبين سطر كتاب رددتلي بعد يأسي حلم الهوى والشباب من انتِ؟  الله لمّا عـضّت على العنّاب وصفصفت بيديها وغمغمت بالجـواب سل الرياحين عني وسـل حنين الرباب,1954,الأخوين رحباني,بشارة الخوري
نسيتنا الكروم,نسيتنا الكروم البعيدة نسيتنا الكروم ونسيتنا تلال القمر نسيتنا النجوم السعيدة نسيتنا النجوم وضيعنا ليالي السهر رحنا ع دار الهوى بليلة غوى تانزور اللي كان حوض وبقية زهر وحكاية عطر محاها الزمان نسيتنا القصص ياحبيبي حكايا الجمال خليني ع بالك حبيبي غنية ع بال,1958,الأخوين رحباني,الأخوين رحباني
نشيد المقاومه,خلصوا الأغاني هني وغنوا عالجنوب خلصوا القصائد هني وصفوا عالجنوب ولا شهداء قلوا ، و لا شهداء زادوا  واذا واقف جنوب، واقف باولاده خلصوا القضايا هني ويردوها عالجنوب كسروا المنابر، هني ويعدوا   عالجنوب يلي عم يحكوا اليوم، هو غير اللي ماتوا المعثر بكل الأرض دائما هو ذاته هيدي مش غنية هيدي بس تحية وبس,2000, زياد رحباني, زياد رحباني
ياحلو ياقمر,يا حلو يا حلو يا قمر يا ندي على غصن سجر يا أمي أستوى كرمنا يا أمي حليو عناقيدو يا أمي وأخضر الجنا الله بيصونو ويزيدو ساكن على شباكنا طير ونحنا ما منريدو لكن لحنو بيضيقنا منضل نقولو ونعيدو ما احلاك عدروب غير دروبنا وقلوب غير قلوبنا بتضل تترجاك محلاك واقمار غير اقمارنا تحاكيك عن أسرارنا وتقلنا شو باك يا أمي لاح بحينا ما عاد بيلوح بأيدو طل الهوى يا ذلّنا  لما بتروح مواعيدو,1996,الأخوين رحباني,الأخوين رحباني
يارايح ع كفر,يا رايح ع كفر حالا امروق بسوق العنّاب في بنت بتنسى حالها وهي على هاك الباب خبرنا كيف احوالها يا رايح ع كفر حالا ع شــمالك في دكــانة بتبيع مغازل صـوف بنت بتقعد ســـــهيانة تنطر تيجيها ضيوف حلوة والخصر بيلوي وما بتعرف انا حــلوة لا تفوّقها على حالها بلكي اشــــغلت لها بالها تعرفــــها من عينيها بيضلو تعبــــــانين وتتطلـــّع ع إيـــديها وع خواتمها الحلوين قـــرّب خبرها عنّي بلـكي زعلانة مــــنّي واسرق لي وإنت قبالها خيط زغيّر من شاله وان كان حالتـــها حالة وع ريفـها شفت دموع قل لها عنيها ببــــالي همـــها  بوجهّي مزروع وتحرقني هاك الضحكة ال بدها تحكي وما بتحكي ياخوفــي من خيالــــها والبعـــد يغير حالـــها,1970,الأخوين رحباني,الأخوين رحباني
ياقمر على دارتنا,يا قمر على دارتنا يا حكاية سهرتنا يللي فتنتنا حلوة يا جارتنا يا قمر على دارتنا ع تلالك ليلتنا رقصة حملتنا وصوبك أخدتنا شفناك ميلنا بهالليل وسألنا تاريك حاببنا وما بتقول شو زعلنا والقمر على دارتنا حكاياته بسهرتنا رقصة حملتنا وصوبه أخدتنا,1997,الأخوين رحباني,الأخوين رحباني
ياقمر لشو تطلع,ياقمر ياقمر ضوي ضوي عاشجر وياشجر بالسهر لوح لوح للقمر ياقمر ياقمر لشو تطلع ياقمر لولا بتقعد تتسمع من خلف الاوراق مش احسن ما تقوم تطلع وتفضح العشاق و تضوي و تكشف صور وتحكي و يزيع الخبر احلى تضلك قمر زغير لشو تكبر ياقمر سافرت كتير وضويت عمرك كلو راح لولا بتلقيلك شي بيت وبتقعد ترتاح هالعيشة الكلها سفر بكرا بتجبلك ضجر خلينا نشتاق عليك غبلك سنه ياقمر,1971,الأخوين رحباني,الأخوين رحباني
يامحلا ليالي الهوى,يا محلا ليالي الهوى يوم اللي التقينا سوى والخيمة عالعالي عالعالي كان رح بيطيرها الهوا يا خيمة اللي عمرها بالبنفسج زنرها وبالشجر ع دايرها علق مراجيح الغوى يا هاك الصبح لما خصلة الشعر لمها عناقيد العلى إمها تقول تقول الكرم إستوى منديل القصب شلته بجروح الهوى غزلته ما في له دوا سألته ؟  جوابني ما في له  دوا,1963,الأخوين رحباني,الأخوين رحباني
يوم و يومين و جمعة,يوم و يومين و جمعة وشهر و شهرين تعبت بعيني الدمعة وين غايب وين شهر و شهرين و بعدك بعدك بتقول تقول محافظ عا وعدك و الوعد يطول و قلبي الناطر عابعدك بالو مشغول مشغول و ليلو بعدك صاير ليلين عالعالي طاروا و علوا جوز حساسين حساسين و راحوا غلوا بعب الشربين و يسأل وينن و نقلو راحوا الحلوين الحلوين الكانوا يملوا من راس العين زهر شباكك زهر شباكك فل الفل العجبينك نور نور عالكل و جينا لعندك تانسهر ما كنت تطل و طل الشوق المسهر دمعات العين,,الأخوين رحباني,الأخوين رحباني
يريد زهره,يريد زهرة وليس فى الروض زهور ووردنا لم يعقد عبير والحقل من غير طيوب يريد زهرة هل تسمعين ياطيور؟ من أين لى زهر وورد؟ وما ترى أهدي حبيبي؟ سأجمع الشوق بقلبي  وأقطف اللحن الغني وانتقى من روض حبي  براعم الحزن الوفير  ومن شذا النسمات ألم كل طيب فأجمع الباقات للساحر الحبيب يريد زهرة وليس فى الروض زهور ووردنا لم يعقد عبير والحقل من غير طيوب يريد زهرة هل تسمعين ياطيور؟ من أين لى زهر وورد؟ وما ترى أهدي حبيبي؟,1955,الأخوين رحباني,الأخوين رحباني
يا رعيان الجبال,يارعيان الجبال اذا طلعتوا عالجبال قولوا لحبيبي عادت ايام الــــــهوى ياقطافين الكروم اذا قطفتوا الكروم قولوا لحبيبي رجع زمان الــــهوى قولوا له الزعل راح والهوى عم يقطف قمره واللوم انتهى وارتاح هالقلب وقبل بســهره قولوا له الناطر ناطر والمشـــــتاق اشتاق ورجعت عالقناطر نجمة العشــاق وقولوا لحبيبي انه حــــــبيبي ع اصوات العصافير عم اكتب حبي وعتبي دلوا عليي النواطير والغربا عرفوا بتـــعبي قولوا له العمــــر قصيّر وشمس العمر خيال وقصر الحب زغيّر والســــــاعات قلال وقولوا لحبيبي انو حبيبي,1969,الأخوين رحباني,الأخوين رحباني
يا ريت انت وانا بالييت,يا ريت أنت و أنا بالبيت شى بيت أبعد بيت ممحي ورا حدود العتم و الريح و التلج نازل بالدنيي تجريح يضيع طريقك ما تعود تفل و تضل حدي تضل و يزهر و يدبل ألف موسم فل و تضل حدي تضل حدي تضل و ما يضل بالقنديل نقطة زيت,1963,الأخوين رحباني,الأخوين رحباني
يا زنبق,يا زنبق يا غاوي بسياجه ومفيي بوراقك ع دراجه بيجي يتكي وبيطول الحكي يا بلبل بخيال عناقيده بتقول له ما ينسى مواعيده ودينا لشباكه يمام ولقلبه ملام ولعيونه سلام  ميل يا ستار و تيه عالدار لوح للعين جنات وزرار,1955,الأخوين رحباني,الأخوين رحباني
يا شام عاد الصيف,يا شَـامُ عَادَ الصّـيفُ متّئِدَاً وَعَادَ بِيَ الجَنَاحُ صَـرَخَ الحَنينُ إليكِ بِي: أقلِعْ، وَنَادَتْني الرّياحُ أصـواتُ أصحابي وعَينَاها وَوَعـدُ غَـدٌ يُتَاحُ كلُّ الذينَ أحبِّهُـمْ نَهَبُـوا رُقَادِيَ وَ اسـتَرَاحوا فأنا هُنَا جُرحُ الهَوَى، وَهُنَاكَ في وَطَني جراحُ وعليكِ عَينِي يا دِمَشـقُ، فمِنكِ ينهَمِرُ الصّبَاحُ يا حُـبُّ تَمْنَعُني وتَسـألُني متى الزمَنُ المُباحُ وأنا إليكَ الدربُ والطيـرُ المُشَـرَّدُ والأقَـاحُ في الشَّامِ أنتَ هَوَىً وفي بَيْرُوتَ أغنيةٌ و رَاحُأهـلي وأهلُكَ وَالحَضَارَةُ وَحَّـدَتْنا وَالسَّـمَاحُ وَصُمُودُنَا وَقَوَافِلُ الأبطَالِ، مَنْ ضَحّوا وَرَاحوا يا شَـامُ، يا بَوّابَةَ التّارِيخِ، تَحرُسُـكِ الرِّمَاحُ,1976,الأخوين رحباني,سعيد عقل
يا شاويش الكراكون,أرضك غنيي ماشاالله بيوتك رضيي من الله عاجبالك العز رايي عليي خاف الله يا شاويش الكراكون و حياتك لا تآخرنا إم الأصفر عالبلكون قالت بدا تنطرنا يا شاويش الكراكون الكراكون الكراكون ردت ردت قمطتها عالغرة العسليي و الشوق اللي بلفتتها من إيام الصيفيي و لما طارت غرتها و الهوا لوح جبهتها غربتنا بجوز عيون عيون عيون عيون عيون شدت شدت زنارا عازهور الخصر المايل و الياقوت المحتارة مشغولي بالجدايل و لما بهيك الإشاره يقلا بحبك يا جارا قالت حبي كلو جنون جنون جنون جنون جنون,1970,الأخوين رحباني,الأخوين رحباني
اقول لطفلتي,أقول لطفلتي إذا الليل برد وصمت الربى ربا لا تحد نصلي فأنت صغيرة وإن الصغار صلاتهم لا ترد أقول لجارتي الا جئتي نسه فعندي تين ولوز وسكر نغني فأنت وحيدة وإن الغناء يخلي إنتظاركِ أقصر عندي بيت و أرضٌ صغيرة فأنا الأن يسكنني الأمان لا أبيع أرضي بذهب الأرض تراب بلادي تراب الجنان وفيه ينام الزمان أقول لبيتنا إذا صرت وحدي وهبت ليال بثلج و برد ليالي وبيتي نار ويمضي الشتاء رفيقاُ كغابة ورد,1999,الأخوين رحباني,الأخوين رحباني
اسمر يا اسمر,أسمر يا أسمر طاب بك العنبر وفي لماكَ إنجلى وشعشع الكوثر كبرت عن حبنا وربنا أكبر بحق عينيك هل أقبلت تستغفر ولا تحاذر جفا فإننا نعذر يا أسمر يا ناسيا عهدنا متى تذكر وعدتنا باللقا ولم تزل تهجر والشوق لا يرعوي والقلب لا يصبر يا أسمر أهكذا حبنا كالحلم أو أقصر لا كان ذاك الضحى والموعد المبكر وملتقى لم نبح فيه بما نضمر وخلوة لم يكن أنقى ولا أطهر يا سمرة ما غزا بمثلها عنتر ونظرة مثلما تلفت الجؤذر وبسمة فوق ما تموّج المرمر وهمسة حلوة يا أهلها خبّروا ما ذنبنا أننا بالحب لا نذكر وأننا طوع ما ينأى وما يأمر يا أسمر,,الأخوين رحباني,الأخوين رحباني
اطلعي يا عروسه,اطلعي يا عروسة عالكرم نقي العنب وطلعت العروسة من الكرم طار العنب وطلعت العروسة تنقي تين ضحك لها الناطور وقلبو حزين ولوحت بعيونو لفته مليانه عتب وضاع بهالبراري وانبح صوت القصب وطلعت العروسة تنقي عريس رماها الهوي ونقاها العريس لبست الأساور والطرحة كلا قصب رقصت العروسة وضحك رنين الدهب,1967,الأخوين رحباني,الأخوين رحباني
الأرض لكم,الأرض لكم..فـ الأرض تبتهج بملامسة أقدامكم العارية والأرض لكم..وشعوركم مسترسلة تتوق إليها الريح والأرض لكم.. وأنتم الطريق فانهضوا من قيدكم عراة أقوياء والأرض لكم.. قدّسوا الحرية حتى لا يحكمكم، طغاة الأرض الأرض لنا، وأنت أخي، لماذا إذاً تخاصمني؟ أنا لا أسمع، وأنت لا ترى وبنا شوقٌ ليدرك بعضنا الآخر فهذي يدي، هات يدك هذي يدي هات يدك هات يدك,2010,زياد رحباني,جبران خليل جبران
الله كبير,بتذكر شو كنت تقلتلّي مهما يصير انتظريني وضلّك صلّي الله كبير ..من يوما شو عاد صار ع مدى كذا نهار ما صار شي كتير كل اللي صار وبعدو بيصير الله كبير ..ذاكر قدّي قلتلّي هالعمر إنو قصير وإنو أنا ما في متلي وحبّي أخير من يوما شو عاد صار ع مدى كذا نهار ما صار شي كتير كل اللي صار وبعدو بيصير الله كبير,2010,زياد الرحباني,زياد الرحباني
الله معك يا هوانا,الله معاك ياهوانا يا مفارقنا حكم الهوى ياهوانا وتفارقنا ويا اهل السهر يلي نطرونا بكره اذا ذكروا العشاق ضلوا تذكرونا تذكرونا تذكرونا ، ضلوا تذكرونا يا حزني السعيد انتهينا ..وتودعنا..ما بنسى شو بكينا وصلينا تتضلك معنى ..ويا اهل السهر يلي نطرونا بكره اذا ذكروا العشاق ضلوا تذكرونا تذكرونا تذكرونا ، ضلوا تذكرونا نبقى سوى .. وصوتك بالليل..يقلي وانا عم بسمع بحبك حتى نجوم الليل.. نجمه ونجمه توقع.. وخلص الحب... وسكتت الكلمه ..وتسكر القلب .. ما وقع ولا نجمه ...متاري الكلام بيضله كلام..وكل شي بيخلص حتى الاحلام .والايام بتمحي الايام الله معاك ياهوانا يا مفارقنا حكم الهوى ياهوانا وتفارقنا ويا اهل السهر يلي نطرونا بكره اذا ذكروا العشاق ضلوا تذكرونا تذكرونا تذكرونا ، ضلوا تذكرونا,,الأخوين رحباني,الأخوين رحباني
امس انتهينا,أمــــــــس انتهينا فلا كنا ولا كان  يا صاحب الوعد خلي الوعد نسيانا طاف النعاس على ماضيك وارتـــــحلت حدائق العــمر بكياُ فأهدأ الآن كان الوداع ابتسامات مبللة بالـــدمع  حينا وبالتذكار أحيانا حتى الهدايا و كانت كل ثروتنا ليل الوداع نسيناها هدايانا شريط شعر عبيق الضوع محرمة ونجمة سقطت من غصن لقيانا أسلمتها لرياح الأرض تحملها حين الهبوب فلا أدركت شـــــــطآنا يا رحلة في مدى النسيان موجعة ما كان أغنى الهوى عنها وأغنانا,1999,الأخوين رحباني,الأخوين رحباني
امي الحبيبة,أمي يا أمي الحبيب نفح الرياحين و الورود أين أبتساماتك الرطيبة تسمو بإشراقة الوجود و لأسم أمي الجميا لحن في القلب أحلى من النسيم لا وجه قد لاح فيه حسن يرقى إلى وجهها الكريم هل لي سوى حبك العظيم أحيا به الوعد بالنعيم روحاُ بأرجائه أهيم طفلاُ لأحضانه أعود أمي و هل لي سوى يديك أرجوهما منة السماء أبوابها طوع راحتيك إن تسألها يسمع الرجاء يا من حلا بإسمها النداء يا من تسامى بها العطاء إن زمت جوداُ من السماء من غير نعماك لا تجود ألقاك في نجمة الصباح في مبسم الزنبق الرطيب في زرقة البحر في الاقاح أمي و في دمعة الغريب و الشمس تدنو من الغروب كأنها وجهك الحبيب يا وجه أمي لا تغيب أماه أنشودة الخلود,,زكي ناصيف,زكي ناصيف
انت لي,انت لي كالغيم للجدول كاللحن للبلبل ومشتهاي هواك انت لي وللهوى منزل وفيئه المخملي وكل طيب فداك منزلي بين الصنوبر موطن اليمام الاليف منزلي دنياه كوثر كنة ممره الوريف وحين مر الغمام مغلل كل غصن راحت طيور اليمام في كل صوب تغني انت لي,,الأخوين رحباني,الأخوين رحباني
اهواك,أهواك بلا أمل .. و عيونك تبسم لي و ورودك تغريني .. بشهيات القبل أهواك و لي قلب .. بغرامك يلتهب تدنيه فيقترب .. تقصيه فيغترب في الظلمة يكتئب .. و يهدهده التعب فيذوب و ينسكب .. كالدمع من المقل في السهرة أنتظر .. و يطول بي السهر فيسائلني القمر .. يا حلوة ما الخبر فأجيبه و القلب .. قد تيمه الحب يا بدر أنا السبب .. أحببت بلا أمل,,زكي ناصيف,زكي ناصيف
اهو دا اللي صار,أهو دا اللي صار و أدي اللي كان مالكش حق مالكش حق تلوم عليا تلوم عليا ازاي يا سيدنا و خير بلادنا ماهوش في ادنا قولي عن أشيا تفدنا و بعدها بقى لوم عليا مصر يا أم العجايب شعبك أصيل و الخصم عايب خلي بالك م الحبايب دول أنصار القضية بدال ما يشمت فينا حاسد إيدك في إيدي نقوم نجاهد احنا نبقى الكل واحد والأيادي تكون قويه,,سيد درويش,بديع خيري
سالوني الناس,سألوني الناس عنك يا حبيبي كتبوا المكاتيب وأخدها الهوا بيعز علي غني يا حبيبي ولأول مرة ما منكون ســـوا سألوني الناس عنك سألوني قلت لهن راجع أوعى تلوموني غمضت عيوني خوفي للناس يشــــــــوفوك مخبا بعيوني وهب الهوا و بكاني الهوى لأول مرة مـــا منكون ســوا طل من الليل قال لي ضوي لي لاقاني الليل وطفا قناديلي ولا تســـأليني كيف إستهديت كـــان قلبي لــعندك دلـيـلي واللي إكتوى بالشوق إكتوى لأول مرة مــــــا منكون سوا,1973,زياد الرحباني,الأخوين رحباني
سيد الهوى,سيد الهوى قمري مورق الجمال طري دائم الوجد والغوى سيد الهوى قمرى وجهه الغض حين لاح عصف الليل بالحلي وبكت زهرة الملاح مذ رأت شعره الفتي وأنا أغسل الندى عن ملاعب الشجر أكتب الشوق موعدا في وريقة العمر طالع الخصر بالهتاف وحكى صوته المدل يا شراع على ضفاف من ضفاف السنا يطل سامح العمر واهتدى بعد طوله سفري وشدا بلبل شدا بالجمال والذكر,1999,محمد محسن,
شط اسكندريه,شط إسكندرية يا شط الهوى رحنا إسكندرية رمانا الهوى يا دنيا هنية وليالي رضية أحملها بعينيه شط إسكندرية البحر ورياحو والفلك الغريب يحملها جراحو ويرحل في المغيب يتمهل شوية و يتودع شوية وتعانق المية شط إسكندرية ليالي مشيتك يا شط الغرام وإن أنا نسيتك ينساني المنام والشاهد عليه غنوة أمارية والنسمة البحرية وشط إسكندرية,1999,الأخوين رحباني,الأخوين رحباني
شو هالأيام,شو هالأيام اللي وصلنالها قال إنه غني عم يعطي فقير كأنه المصاري قشطت لحالها عاهيدا نتفه وهيدا كثير حلوة دي ... حلوة دي .... تعجن في الفجريه بيقولوا لك  من  عرق  جبينه    طلّع مصاري هالإنسان طيّب كيف هايدا وكيف ملايينه  وما  مرّه  شايفينه عرقان مش صحيح... مش صحيح... الهوا غلاّب الغني  من  تلقاء  نفــسه    حابب يوزّع ورق المال ما انّه بخيل أبدا على عكسه   تذكركن  يا ولاد الحلال ليل يا لال ... ليل يا لال... وحوّل كل واحد منّا عنده ستيلو ما بمينع إنّه يصير تنسيق جيب لي لامضي لك قلم ستيلو كل الشعوب بكره حَ تفي يا سلام ... يا سلام... سلّم كل  المصاري   اللّي  مضبوبة اللّي  ما   بتنعد  وما  بتنقاس اصلها من جياب الناس مسحوبة ولازم ترجع عً جياب الناس هي دي هيّ ... هي دي هيّ... الأصليّه,2000,زياد الرحباني,زياد الرحباني
صار لازم ودعكن,أنا صار لازم ودعكن وخبركن عني أنا كل القصة لو منكن ما كنت بغني غنينا أغاني ع اوراق غنية لواحد مشتاق ودايماً بالأخر في أخر في وقت فراق يا جماعة لازم خبركن هالقصة عني أنا كل شي بقوله عم حسه وعم يطلع مني موسيقيي دقوا وفلوا والعالم صاروا يقلوا ودايما في الأخر في أخر في وقت فراق بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد أنتوا أحكوني وأنا بسمعكن حتى لو للصوت بعيد بلا موسيقتنا الليلة حزينة بلا غنية الليلة بتطول كل ليلة بغني بمدينة وبحمل صوتي وبمشي عطول  ولا غنية نفعت معنا ولا كلمة الا شي حزين اذا ما بكينا ولا دمعنا لا تفتكروا فرحانيين,1997,زياد الرحباني,زياد الرحباني
صار لو زمان,صار لو زمان الحلو ما بان صار لو زمان يمكن حدا زعلو و عتبان صار لو زمان باعت رسول الحلو بيقول مع هالرسول إنو الهوى بدلو عا طول ناسي عا طول مين خلاك تدلل علينا؟ مين نساك دمعات عينينا؟ هيك الأمل يا حلو عتبان ناسي الحنان ريت الجفا يا حلو ما كان ريتو ما كان,1999,الأخوين رحباني,الأخوين رحباني
عتم يا ليل,عتم يا ليل عتم أكتر خلي قناديلنا تضوي أكتر زغيري قناديلنا و الليل كبير لم بتضويلنا بنوصل بكير يا قمر ضلك غايب حلفتك بالحبايب حتى ضويتنا تسهر و يصيرلا رهجة أكتر والدنيي غافلة و القمر غاب تقشعني واصلة عم دق الباب وبتسأل كيف طلعتي بهالعتمة و ما فزعتي قولي القنديل منور صار فينا نسهر أكتر مين هي الطالعة بهاك الحي كن مناش قاشعة ضو و لا شوي يا منتورة زورينا من بالك لا تشيلينا في عنا بيت زغير بيساع الكل وأكتر,1963,الأخوين رحباني,الأخوين رحباني