Similar Songs,Similarity Scores,Track title
بينى وبينك; تبقى ميل; شاويش الكراكون; انا لحبيبى; زمان,0.9158; 0.9061; 0.8993; 0.8971; 0.8970,البنت الشلبيه
تدور الارجيله; جاى انا; لازم ودعكن; طيرى طياره; حبيبى بده القمر,0.8826; 0.8788; 0.8770; 0.8718; 0.8693,اخر ايام الصيفيه
احبك فى صمتى; ابنه بلادى; تعال كفاك دلال; اقول لطفلتى; احب الاسماء,0.9093; 0.8901; 0.8864; 0.8821; 0.8740,اعطنى الناى
احكيلى بلدى; بيتى انا بيتك; جاى انا; نسم علينا الهوى; البنت الشلبيه,0.9177; 0.9083; 0.9043; 0.9030; 0.8971,انا لحبيبى
بيتى انا بيتك; سالونى الناس; كنا نتلاقى; رعيان الجبال; اخر السهريه,0.9253; 0.9118; 0.9077; 0.9069; 0.9046,بكتب اسمك
البنت الشلبيه; تبقى ميل; انا لحبيبى; nan; جلنار,0.9158; 0.8948; 0.8947; 0.8928; 0.8917,بينى وبينك
اخر السهريه; لازم ودعكن; يارايح كفر; بيتى انا بيتك; سالونى الناس,0.8864; 0.8856; 0.8737; 0.8719; 0.8670,سالتك حبيبى
طيرى طياره; غرب هوى; فايق هوى; بيتى انا بيتك; سالونى الناس,0.8778; 0.8759; 0.8742; 0.8689; 0.8667,شادى
نام تنام; تدور الارجيله; احكيلى بلدى; فايق هوى; بيتى انا بيتك,0.8968; 0.8870; 0.8860; 0.8838; 0.8827,طيرى طياره
الرمان; نام تنام; عروستنا الحلوه; تك تك يام سليمان; معافى ياعسكر لبنان,0.8715; 0.8697; 0.8689; 0.8675; 0.8599,عم بتضوى الشمس
نسيتنا الكروم; نسم علينا الهوى; انا لحبيبى; اخر ايام الصيفيه; طيرى طياره,0.8671; 0.8621; 0.8614; 0.8586; 0.8585,شط اسكندريه
يريد زهره; اهواك; الله معك هوانا; احترف الحزن; احبك اشوف,0.8851; 0.8512; 0.8497; 0.8481; 0.8454,ابحث عنك دوما
احبك فى صمتى; اسمر اسمر; ندى; سيد الهوى; اذكرينى,0.9322; 0.9023; 0.8996; 0.8976; 0.8956,ابنه بلادى
روابينا القمر; احب دمشق; اسمر اسمر; بالغار كللت; شام الصيف,0.8847; 0.8808; 0.8793; 0.8783; 0.8779,اتسالين النجم
اعطنى الناى; تعال كفاك دلال; بيتى انا بيتك; احبك فى صمتى; اقول لطفلتى,0.8740; 0.8601; 0.8565; 0.8506; 0.8492,احب الاسماء
بالغار كللت; شام الصيف; احبك فى صمتى; ابنه بلادى; امى الحبيبه,0.8992; 0.8937; 0.8920; 0.8858; 0.8842,احب دمشق
ابنه بلادى; تعال كفاك دلال; اعطنى الناى; شام الصيف; سيد الهوى,0.9322; 0.9137; 0.9093; 0.9034; 0.9017,احبك فى صمتى
ببلدى الاول; معك حبيبى; الله معك هوانا; سالونى الناس; كنا نتلاقى,0.8799; 0.8774; 0.8757; 0.8674; 0.8601,احبك اشوف
اهواك; اقول لطفلتى; احبك فى صمتى; تعال كفاك دلال; اعطنى الناى,0.8695; 0.8648; 0.8609; 0.8522; 0.8514,احترف الحزن
نسيتنا الكروم; انا لحبيبى; عروستنا الحلوه; تدور الارجيله; احكيلى بلدى,0.8596; 0.8436; 0.8369; 0.8355; 0.8349,احكيلى حكايه طويله
انا لحبيبى; بيتى انا بيتك; نسم علينا الهوى; اخر السهريه; تنذكر تنعاد,0.9177; 0.9092; 0.9074; 0.8981; 0.8972,احكيلى بلدى
اذكرينى; احبك فى صمتى; تعال كفاك دلال; ابنه بلادى; امس انتهينا,0.8829; 0.8822; 0.8721; 0.8695; 0.8690,احلى ليالى المنى
سالونى الناس; بيتى انا بيتك; غرب هوى; تنذكر تنعاد; بكتب اسمك,0.9215; 0.9114; 0.9052; 0.9051; 0.9046,اخر السهريه
حبيبى بده القمر; رعيان الجبال; غرب هوى; نسم علينا الهوى; جاى انا,0.8956; 0.8825; 0.8801; 0.8800; 0.8797,اذا الارض مدوره
سيد الهوى; احبك فى صمتى; ابنه بلادى; امس انتهينا; احلى ليالى المنى,0.9123; 0.8980; 0.8956; 0.8946; 0.8829,اذكرينى
احبك فى صمتى; امس انتهينا; اقول لطفلتى; سيد الهوى; اذكرينى,0.8699; 0.8663; 0.8646; 0.8631; 0.8574,ارجعى الف ليله
احب دمشق; سيد الهوى; روابينا القمر; ابنه بلادى; شام الصيف,0.8992; 0.8937; 0.8933; 0.8898; 0.8791,بالغار كللت
البنت الشلبيه; حبك غنينا; تبقى ميل; بيتى انا بيتك; انا لحبيبى,0.8930; 0.8775; 0.8662; 0.8649; 0.8630,بالمح ظلال الحب
كنا نتلاقى; الله معك هوانا; احبك اشوف; معك حبيبى; بكتب اسمك,0.9056; 0.8859; 0.8799; 0.8780; 0.8762,ببلدى الاول
علوا ابواب الوسيعه; غمر الغداير; معافى ياعسكر لبنان; زنبق; تخمين,0.8940; 0.8893; 0.8699; 0.8698; 0.8655,برجك عيد
جاى انا; سالونى الناس; اخر السهريه; البنت الشلبيه; انا لحبيبى,0.8710; 0.8709; 0.8580; 0.8546; 0.8489,بعثت روحى
احبك فى صمتى; اذكرينى; انا لحبيبى; شام الصيف; اقول لطفلتى,0.8838; 0.8720; 0.8719; 0.8702; 0.8649,بكى هواك
اقول لطفلتى; بيتنا فى الجزيره; احبك فى صمتى; ابنه بلادى; شام الصيف,0.8762; 0.8662; 0.8549; 0.8525; 0.8471,بيسان
بكتب اسمك; جاى انا; تنذكر تنعاد; سالونى الناس; اخر السهريه,0.9253; 0.9234; 0.9183; 0.9179; 0.9114,بيتى انا بيتك
ابنه بلادى; احبك فى صمتى; انت لى; روابينا القمر; بيسان,0.8914; 0.8814; 0.8700; 0.8682; 0.8662,بيتنا فى الجزيره
عروستنا الحلوه; شو هالايام; ياحلو ياقمر; نام تنام; nan,0.8520; 0.8445; 0.8419; 0.8416; 0.8397,بيقولوا زغير بلدى
البنت الشلبيه; انا لحبيبى; بينى وبينك; يوم يومين جمعه; زمان,0.9061; 0.8970; 0.8948; 0.8905; 0.8902,تبقى ميل
تخمين; عتم ليل; شاويش الكراكون; علوا ابواب الوسيعه; الرمان,0.8903; 0.8839; 0.8808; 0.8780; 0.8752,تك تك يام سليمان
بيتى انا بيتك; اخر السهريه; جاى انا; بكتب اسمك; احكيلى بلدى,0.9183; 0.9051; 0.9031; 0.8972; 0.8972,تنذكر تنعاد
بيتى انا بيتك; سالونى الناس; غرب هوى; نسم علينا الهوى; انا لحبيبى,0.9234; 0.9092; 0.9089; 0.9050; 0.9043,جاى انا
عتم ليل; بينى وبينك; يوم يومين جمعه; نسم علينا الهوى; تخمين,0.9084; 0.8917; 0.8882; 0.8838; 0.8838,جلنار
لازم ودعكن; تعا تجى; كيفك انت; بكتب اسمك; ببلدى الاول,0.7968; 0.7956; 0.7828; 0.7794; 0.7766,جينا لحلال القصص
غرب هوى; نسم علينا الهوى; اذا الارض مدوره; اخر السهريه; رعيان الجبال,0.9088; 0.8978; 0.8956; 0.8931; 0.8903,حبيبى بده القمر
برجك عيد; شاويش الكراكون; غمر الغداير; تخمين; يامحلا ليالى الهوى,0.8940; 0.8924; 0.8858; 0.8836; 0.8813,علوا ابواب الوسيعه
فايق هوى; نحنا والقمر جيران; علوا ابواب الوسيعه; يامحلا ليالى الهوى; ياحلو ياقمر,0.8890; 0.8745; 0.8708; 0.8702; 0.8670,العريشه
تك تك يام سليمان; شاويش الكراكون; نام تنام; عتم ليل; الرمان,0.8903; 0.8888; 0.8883; 0.8865; 0.8861,تخمين
فايق هوى; نام تنام; طيرى طياره; حبيبى بده القمر; اخر ايام الصيفيه,0.8972; 0.8939; 0.8870; 0.8841; 0.8826,تدور الارجيله
بكتب اسمك; كنا نتلاقى; اطلعى عروسه; ببلدى الاول; تدور الارجيله,0.8907; 0.8818; 0.8717; 0.8715; 0.8687,تعا تجى
احبك فى صمتى; اهواك; اعطنى الناى; بيتى انا بيتك; اقول لطفلتى,0.9137; 0.8878; 0.8864; 0.8845; 0.8791,تعال كفاك دلال
لازم ودعكن; كيفك انت; بيتى انا بيتك; معرفتى فيك; يارايح كفر,0.8137; 0.8134; 0.7934; 0.7897; 0.7896,تلفن عياش
نحنا والقمر جيران; فايق هوى; بالمح ظلال الحب; ياقمر دارتنا; بيتى انا بيتك,0.8962; 0.8882; 0.8775; 0.8748; 0.8740,حبك غنينا
بينى وبينك; يوم يومين جمعه; احلى ليالى المنى; فايق هوى; اذكرينى,0.7606; 0.7571; 0.7502; 0.7481; 0.7469,غيب قمر
غرب الحسون; تخمين; العريشه; تك تك يام سليمان; برجك عيد,1.0000; 0.8371; 0.8301; 0.8203; 0.8178,غرب الحسون
فايق هوى; نسم علينا الهوى; جاى انا; حبيبى بده القمر; اخر السهريه,0.9112; 0.9097; 0.9089; 0.9088; 0.9052,غرب هوى
فايق هوى; بينى وبينك; طيرى طياره; البنت الشلبيه; شاويش الكراكون,0.9037; 0.8928; 0.8822; 0.8781; 0.8764,
اخر السهريه; بيتى انا بيتك; بكتب اسمك; جاى انا; نسم علينا الهوى,0.9215; 0.9179; 0.9118; 0.9092; 0.8973,سالونى الناس
اذا الارض مدوره; حبيبى بده القمر; بعثت روحى; معرفتى فيك; نسم علينا الهوى,0.8110; 0.8040; 0.7972; 0.7955; 0.7949,زورونى سنه مره
تخمين; تك تك يام سليمان; علوا ابواب الوسيعه; عم بتضوى الشمس; عروستنا الحلوه,0.8861; 0.8752; 0.8734; 0.8715; 0.8692,الرمان
غرب الحسون; تخمين; العريشه; تك تك يام سليمان; برجك عيد,1.0000; 0.8371; 0.8301; 0.8203; 0.8178,غرب الحسون
برجك عيد; علوا ابواب الوسيعه; يامحلا ليالى الهوى; شاويش الكراكون; روابينا القمر,0.8893; 0.8858; 0.8846; 0.8837; 0.8806,غمر الغداير
فايق هوى; nan; بينى وبينك; احكيلى بلدى; انا لحبيبى,0.8893; 0.8750; 0.8726; 0.8713; 0.8692,فايق ناسى
غرب هوى; nan; رعيان الجبال; تدور الارجيله; سالونى الناس,0.9112; 0.9037; 0.9001; 0.8972; 0.8961,فايق هوى
غرب هوى; احكيلى بلدى; جاى انا; بيتى انا بيتك; انا لحبيبى,0.9097; 0.9074; 0.9050; 0.9040; 0.9030,نسم علينا الهوى
حبك غنينا; ياحلو ياقمر; العريشه; فايق هوى; ياقمر دارتنا,0.8962; 0.8779; 0.8745; 0.8610; 0.8586,نحنا والقمر جيران
لازم ودعكن; معرفتى فيك; تنذكر تنعاد; اخر السهريه; بيتى انا بيتك,0.9087; 0.9017; 0.8947; 0.8781; 0.8768,كيفك انت
بكتب اسمك; ببلدى الاول; الله معك هوانا; رعيان الجبال; تعا تجى,0.9077; 0.9056; 0.8961; 0.8939; 0.8818,كنا نتلاقى
معك حبيبى; الله معك هوانا; ببلدى الاول; كنا نتلاقى; احبك اشوف,0.8570; 0.8562; 0.8429; 0.8348; 0.8334,راجعين هوى
فايق هوى; تخمين; تك تك يام سليمان; الرمان; عم بتضوى الشمس,0.8776; 0.8716; 0.8697; 0.8692; 0.8689,عروستنا الحلوه
برجك عيد; الرمان; علوا ابواب الوسيعه; غمر الغداير; عم بتضوى الشمس,0.8699; 0.8640; 0.8638; 0.8626; 0.8599,معافى ياعسكر لبنان
كيفك انت; تنذكر تنعاد; اخر السهريه; بيتى انا بيتك; بكتب اسمك,0.9017; 0.8791; 0.8790; 0.8789; 0.8759,معرفتى فيك
الله معك هوانا; بكتب اسمك; ببلدى الاول; احبك اشوف; كنا نتلاقى,0.8925; 0.8804; 0.8780; 0.8774; 0.8768,معك حبيبى
سيد الهوى; بالغار كللت; اتسالين النجم; اسمر اسمر; غمر الغداير,0.9158; 0.8933; 0.8847; 0.8827; 0.8806,روابينا القمر
طيرى طياره; عتم ليل; ياقمر لشو تطلع; رعيان الجبال; تدور الارجيله,0.8968; 0.8958; 0.8956; 0.8947; 0.8939,نام تنام
ابنه بلادى; سيد الهوى; احبك فى صمتى; اسمر اسمر; اذكرينى,0.8996; 0.8982; 0.8923; 0.8767; 0.8759,ندى
فايق هوى; شط اسكندريه; حبك غنينا; ياقمر دارتنا; اذكرينى,0.8896; 0.8671; 0.8663; 0.8632; 0.8623,نسيتنا الكروم
لازم ودعكن; رعيان الجبال; بيتى انا بيتك; تنذكر تنعاد; نام تنام,0.8716; 0.8560; 0.8494; 0.8492; 0.8450,نشيد المقاومه
انا لحبيبى; عتم ليل; تخمين; نحنا والقمر جيران; البنت الشلبيه,0.8917; 0.8866; 0.8808; 0.8779; 0.8775,ياحلو ياقمر
اخر السهريه; البنت الشلبيه; تنذكر تنعاد; حبيبى بده القمر; شو هالايام,0.8989; 0.8951; 0.8944; 0.8876; 0.8860,يارايح كفر
حبك غنينا; نسيتنا الكروم; نحنا والقمر جيران; تدور الارجيله; فايق هوى,0.8748; 0.8632; 0.8586; 0.8530; 0.8369,ياقمر دارتنا
نام تنام; عتم ليل; تنذكر تنعاد; بكتب اسمك; رعيان الجبال,0.8956; 0.8861; 0.8860; 0.8850; 0.8795,ياقمر لشو تطلع
فايق هوى; غمر الغداير; علوا ابواب الوسيعه; ندى; سيد الهوى,0.8927; 0.8846; 0.8813; 0.8746; 0.8728,يامحلا ليالى الهوى
غرب هوى; فايق هوى; تبقى ميل; نام تنام; جلنار,0.8945; 0.8918; 0.8905; 0.8897; 0.8882,يوم يومين جمعه
ابحث عنك دوما; اهواك; احلى ليالى المنى; معك حبيبى; ببلدى الاول,0.8851; 0.8596; 0.8507; 0.8428; 0.8403,يريد زهره
بكتب اسمك; بيتى انا بيتك; فايق هوى; سالونى الناس; نام تنام,0.9069; 0.9002; 0.9001; 0.8972; 0.8947,رعيان الجبال
انا لحبيبى; تبقى ميل; بينى وبينك; تنذكر تنعاد; يوم يومين جمعه,0.8435; 0.8352; 0.8339; 0.8328; 0.8288,ريت انت وانا بالييت
برجك عيد; غمر الغداير; تخمين; بالمح ظلال الحب; يامحلا ليالى الهوى,0.8698; 0.8660; 0.8556; 0.8517; 0.8438,زنبق
احبك فى صمتى; اقول لطفلتى; احب دمشق; ابنه بلادى; امس انتهينا,0.9034; 0.8963; 0.8937; 0.8921; 0.8793,شام الصيف
البنت الشلبيه; علوا ابواب الوسيعه; تخمين; غمر الغداير; تك تك يام سليمان,0.8993; 0.8924; 0.8888; 0.8837; 0.8808,شاويش الكراكون
احبك فى صمتى; شام الصيف; ابنه بلادى; اعطنى الناى; بيتى انا بيتك,0.9017; 0.8963; 0.8876; 0.8821; 0.8806,اقول لطفلتى
ابنه بلادى; احبك فى صمتى; روابينا القمر; اتسالين النجم; ندى,0.9023; 0.8895; 0.8827; 0.8793; 0.8767,اسمر اسمر
تعا تجى; يارايح كفر; تدور الارجيله; حبيبى بده القمر; فايق هوى,0.8717; 0.8683; 0.8642; 0.8579; 0.8570,اطلعى عروسه
اقول لطفلتى; احترف الحزن; تعال كفاك دلال; اعطنى الناى; اهواك,0.8154; 0.8130; 0.8075; 0.8073; 0.8058,الارض
تنذكر تنعاد; بكتب اسمك; كنا نتلاقى; اخر السهريه; معرفتى فيك,0.8891; 0.8743; 0.8733; 0.8720; 0.8643,الله كبير
كنا نتلاقى; معك حبيبى; ببلدى الاول; احبك اشوف; سالونى الناس,0.8961; 0.8925; 0.8859; 0.8757; 0.8601,الله معك هوانا
اذكرينى; احبك فى صمتى; شام الصيف; تعال كفاك دلال; اقول لطفلتى,0.8946; 0.8845; 0.8793; 0.8777; 0.8748,امس انتهينا
احبك فى صمتى; احب دمشق; ابنه بلادى; ندى; اسمر اسمر,0.8948; 0.8842; 0.8827; 0.8724; 0.8613,امى الحبيبه
احبك فى صمتى; ابنه بلادى; سيد الهوى; احب دمشق; روابينا القمر,0.9013; 0.8947; 0.8868; 0.8745; 0.8724,انت لى
تعال كفاك دلال; احبك فى صمتى; احترف الحزن; اقول لطفلتى; يريد زهره,0.8878; 0.8774; 0.8695; 0.8604; 0.8596,اهواك
سالونى الناس; تنذكر تنعاد; بعثت روحى; جاى انا; بيتى انا بيتك,0.8649; 0.8580; 0.8472; 0.8470; 0.8367,اهو دا اللى
روابينا القمر; اذكرينى; احبك فى صمتى; ندى; ابنه بلادى,0.9158; 0.9123; 0.9017; 0.8982; 0.8976,سيد الهوى
يارايح كفر; شاويش الكراكون; تك تك يام سليمان; البنت الشلبيه; يوم يومين جمعه,0.8860; 0.8669; 0.8619; 0.8619; 0.8619,شو هالايام
كيفك انت; سالتك حبيبى; يارايح كفر; تنذكر تنعاد; اخر ايام الصيفيه,0.9087; 0.8856; 0.8795; 0.8777; 0.8770,لازم ودعكن
البنت الشلبيه; تبقى ميل; انا لحبيبى; بينى وبينك; نسم علينا الهوى,0.8970; 0.8902; 0.8859; 0.8760; 0.8720,زمان
جلنار; نام تنام; فايق هوى; ياحلو ياقمر; تخمين,0.9084; 0.8958; 0.8958; 0.8866; 0.8865,عتم ليل
